timestampUtc,category,iconColor,priority,text
2026-01-13 06:38:01.218000+00:00,,,,
2026-01-13 06:47:59.979000+00:00,,,,
2026-01-13 07:03:02.715000+00:00,,,,
2026-01-13 07:09:27.738000+00:00,,,,
2026-01-13 07:12:08.728000+00:00,,,,
2026-01-28 09:35:50.516000+00:00,,,,
2026-01-28 10:04:27.159000+00:00,,,,
2026-01-28 15:00:28.109000+00:00,,,,
2026-01-29 08:17:35.329000+00:00,,,,
2026-01-30 12:41:35.870000+00:00,,,,
2026-01-30 16:32:01.026000+00:00,,,,
2026-01-30 19:34:42.475000+00:00,,,,
